iter	Passed	Remaining
400	18890	28218
401	18933	28165
402	18976	28111
403	19021	28061
404	19067	28012
405	19110	27959
406	19165	27923
407	19211	27875
408	19259	27830
409	19301	27774
410	19353	27734
411	19403	27691
412	19439	27628
413	19479	27572
414	19524	27523
415	19560	27459
416	19606	27411
417	19659	27372
418	19710	27331
419	19757	27283
420	19800	27231
421	19846	27182
422	19894	27137
423	19942	27091
424	19990	27045
425	20036	26997
426	20084	26951
427	20139	26915
428	20190	26873
429	20243	26834
430	20292	26790
431	20339	26742
432	20381	26688
433	20425	26637
434	20472	26591
435	20524	26549
436	20574	26506
437	20613	26448
438	20658	26400
439	20703	26349
440	20758	26312
441	20801	26261
442	20843	26206
443	20890	26159
444	20932	26107
445	20969	26046
446	21013	25996
447	21055	25943
448	21094	25886
449	21135	25832
450	21185	25789
451	21235	25745
452	21284	25701
453	21327	25649
454	21365	25591
455	21406	25537
456	21452	25489
457	21493	25435
458	21539	25387
459	21583	25336
460	21624	25282
461	21675	25241
462	21725	25197
463	21769	25147
464	21810	25093
465	21858	25048
466	21908	25005
467	21948	24949
468	21994	24901
469	22044	24858
470	22098	24820
471	22152	24780
472	22203	24738
473	22262	24705
474	22308	24657
475	22363	24618
476	22411	24573
477	22461	24529
478	22510	24484
479	22553	24433
480	22597	24383
481	22650	24342
482	22699	24297
483	22740	24244
484	22791	24201
485	22837	24152
486	22888	24110
487	22935	24063
488	22984	24018
489	23024	23963
490	23072	23918
491	23116	23868
492	23165	23823
493	23209	23773
494	23257	23727
495	23299	23675
496	23338	23620
497	23380	23567
498	23417	23511
499	23460	23460
500	23503	23409
501	23545	23357
502	23585	23304
503	23624	23249
504	23675	23206
505	23730	23167
506	23785	23128
507	23832	23081
508	23878	23034
509	23924	22986
510	23978	22946
511	24026	22899
512	24070	22850
513	24113	22800
514	24162	22755
515	24222	22720
516	24262	22666
517	24305	22616
518	24345	22563
519	24383	22507
520	24429	22459
521	24480	22416
522	24524	22367
523	24565	22315
524	24605	22262
525	24652	22215
526	24698	22168
527	24746	22121
528	24797	22078
529	24849	22036
530	24896	21989
531	24954	21952
532	25006	21909
533	25048	21859
534	25095	21811
535	25151	21772
536	25198	21726
537	25239	21673
538	25282	21623
539	25322	21570
540	25362	21517
541	25407	21469
542	25450	21419
543	25491	21368
544	25533	21316
545	25575	21266
546	25615	21213
547	25664	21168
548	25708	21119
549	25758	21075
550	25800	21024
551	25845	20976
552	25894	20931
553	25936	20879
554	25977	20828
555	26014	20773
556	26059	20725
557	26096	20671
558	26139	20621
559	26188	20577
560	26233	20528
561	26281	20482
562	26319	20429
563	26359	20377
564	26402	20327
565	26441	20275
566	26494	20233
567	26535	20182
568	26583	20136
569	26628	20088
570	26671	20038
571	26719	19993
572	26768	19947
573	26813	19899
574	26857	19851
575	26900	19801
576	26947	19755
577	26992	19707
578	27037	19659
579	27073	19605
580	27112	19553
581	27166	19511
582	27221	19470
583	27276	19430
584	27322	19382
585	27365	19333
586	27410	19285
587	27455	19237
588	27499	19189
589	27544	19140
590	27584	19089
591	27632	19044
592	27685	19001
593	27736	18957
594	27776	18906
595	27815	18854
596	27860	18806
597	27899	18755
598	27946	18708
599	27989	18659
600	28031	18609
601	28077	18562
602	28143	18528
603	28194	18484
604	28238	18436
605	28281	18387
606	28326	18339
607	28368	18290
608	28410	18240
609	28451	18190
610	28503	18146
611	28549	18100
612	28607	18060
613	28657	18016
614	28707	17971
615	28766	17932
616	28816	17887
617	28862	17840
618	28909	17794
619	28957	17748
620	28996	17696
621	29042	17649
622	29085	17600
623	29133	17554
624	29177	17506
625	29229	17462
626	29273	17414
627	29313	17364
628	29364	17319
629	29412	17274
630	29453	17224
631	29507	17181
632	29551	17133
633	29588	17081
634	29647	17041
635	29687	16990
636	29734	16944
637	29770	16891
638	29805	16838
639	29850	16791
640	29895	16743
641	29933	16692
642	29976	16643
643	30017	16593
644	30061	16545
645	30106	16497
646	30156	16452
647	30201	16405
648	30246	16358
649	30291	16310
650	30329	16259
651	30363	16206
652	30404	16156
653	30444	16106
654	30484	16056
655	30532	16010
656	30569	15959
657	30607	15908
658	30681	15876
659	30734	15833
660	30788	15790
661	30838	15745
662	30882	15697
663	30933	15653
664	30985	15609
665	31038	15565
666	31088	15520
667	31146	15480
668	31204	15439
669	31260	15397
670	31312	15353
671	31362	15308
672	31411	15262
673	31467	15220
674	31526	15179
675	31578	15135
676	31627	15089
677	31689	15049
678	31743	15006
679	31798	14964
680	31858	14923
681	31906	14877
682	31964	14835
683	32014	14790
684	32067	14746
685	32125	14704
686	32185	14663
687	32241	14620
688	32295	14577
689	32347	14532
690	32394	14486
691	32442	14439
692	32502	14398
693	32557	14355
694	32613	14312
695	32659	14264
696	32710	14219
697	32760	14174
698	32812	14129
699	32855	14081
700	32897	14031
701	32939	13982
702	32996	13940
703	33055	13898
704	33107	13853
705	33160	13809
706	33216	13765
707	33275	13723
708	33327	13678
709	33375	13632
710	33424	13585
711	33469	13538
712	33513	13490
713	33570	13447
714	33625	13403
715	33684	13361
716	33741	13317
717	33792	13272
718	33840	13225
719	33897	13182
720	33946	13136
721	33993	13088
722	34055	13047
723	34100	12999
724	34171	12961
725	34225	12917
726	34279	12872
727	34339	12830
728	34388	12783
729	34431	12734
730	34479	12688
731	34522	12639
732	34574	12593
733	34635	12551
734	34694	12509
735	34749	12464
736	34802	12419
737	34859	12375
738	34917	12332
739	34971	12287
740	35021	12240
741	35081	12198
742	35139	12154
743	35189	12108
744	35235	12060
745	35284	12013
746	35332	11966
747	35376	11918
748	35419	11869
749	35468	11822
750	35519	11776
751	35571	11731
752	35619	11683
753	35669	11637
754	35733	11595
755	35796	11553
756	35845	11506
757	35897	11460
758	35937	11411
759	35994	11366
760	36042	11319
761	36095	11273
762	36152	11229
763	36199	11181
764	36248	11135
765	36293	11086
766	36339	11039
767	36377	10989
768	36424	10941
769	36474	10894
770	36515	10845
771	36559	10797
772	36600	10748
773	36648	10701
774	36702	10655
775	36754	10609
776	36800	10561
777	36844	10513
778	36893	10466
779	36933	10417
780	36977	10368
781	37019	10319
782	37063	10271
783	37105	10222
784	37164	10178
785	37216	10132
786	37261	10084
787	37301	10035
788	37352	9989
789	37395	9940
790	37436	9891
791	37470	9840
792	37508	9791
793	37551	9742
794	37598	9695
795	37640	9646
796	37690	9599
797	37740	9553
798	37787	9505
799	37831	9457
800	37871	9408
801	37913	9360
802	37953	9311
803	37989	9261
804	38030	9212
805	38078	9165
806	38127	9118
807	38178	9072
808	38226	9025
809	38272	8977
810	38317	8929
811	38362	8882
812	38405	8833
813	38449	8785
814	38490	8737
815	38528	8687
816	38574	8640
817	38615	8591
818	38668	8545
819	38712	8497
820	38761	8451
821	38802	8402
822	38845	8354
823	38882	8304
824	38924	8256
825	38964	8207
826	39016	8161
827	39061	8114
828	39111	8067
829	39160	8020
830	39211	7974
831	39257	7926
832	39296	7878
833	39346	7831
834	39382	7782
835	39423	7733
836	39461	7684
837	39504	7636
838	39548	7589
839	39592	7541
840	39638	7493
841	39688	7447
842	39741	7401
843	39791	7354
844	39837	7307
845	39886	7260
846	39942	7215
847	40001	7169
848	40056	7124
849	40105	7077
850	40154	7030
851	40203	6983
852	40267	6939
853	40321	6893
854	40363	6845
855	40412	6798
856	40463	6751
857	40508	6704
858	40553	6656
859	40596	6608
860	40650	6562
861	40705	6516
862	40760	6470
863	40810	6423
864	40858	6376
865	40912	6330
866	40954	6282
867	40997	6234
868	41040	6186
869	41087	6139
870	41133	6092
871	41189	6046
872	41237	5999
873	41281	5951
874	41325	5903
875	41372	5856
876	41416	5808
877	41461	5761
878	41508	5713
879	41550	5666
880	41598	5618
881	41651	5572
882	41700	5525
883	41745	5477
884	41796	5431
885	41847	5384
886	41895	5337
887	41940	5289
888	41978	5241
889	42021	5193
890	42063	5145
891	42109	5098
892	42168	5052
893	42218	5005
894	42280	4960
895	42337	4914
896	42390	4867
897	42440	4820
898	42480	4772
899	42530	4725
900	42569	4677
901	42608	4629
902	42656	4582
903	42715	4536
904	42764	4489
905	42816	4442
906	42856	4394
907	42895	4346
908	42942	4298
909	42982	4251
910	43025	4203
911	43070	4155
912	43113	4108
913	43159	4060
914	43212	4014
915	43270	3968
916	43315	3920
917	43372	3874
918	43412	3826
919	43465	3779
920	43515	3732
921	43573	3686
922	43621	3639
923	43707	3594
924	43773	3549
925	43845	3503
926	43903	3457
927	43971	3411
928	44027	3364
929	44090	3318
930	44148	3272
931	44204	3225
932	44259	3178
933	44311	3131
934	44366	3084
935	44429	3037
936	44482	2990
937	44531	2943
938	44581	2896
939	44633	2848
940	44682	2801
941	44737	2754
942	44789	2707
943	44831	2659
944	44878	2611
945	44925	2564
946	44977	2517
947	45022	2469
948	45066	2421
949	45110	2374
950	45156	2326
951	45217	2279
952	45313	2234
953	45407	2189
954	45492	2143
955	45713	2103
956	45774	2056
